from_path,to_path,status_code,reason
"/article/","/blog",301,"blog index moved"
"/article","/blog",301,"blog index moved"
"/มารู้-5-สาเหตุของการเกิด/","/blog/5-causes-dirty-tap-water",301,"blog post: มารู้ 5 สาเหตุของการเกิดน้ำประปาสกปรก พร้อมวิธีแก้"
"/น้ำประปาดื่มได้จริงเหร/","/blog/is-tap-water-safe-to-drink",301,"blog post: น้ำประปาดื่มได้จริงเหรอ??"
"/รู้หรือไม่-ท่อpvc-มีอายุกา/","/blog/pvc-pipe-lifespan",301,"blog post: รู้หรือไม่? ท่อPVC มีอายุการใช้งานเท่าไร"
"/ทริคการบำรุงรักษาท่อ-ppr-เ/","/blog/ppr-pipe-maintenance-tips",301,"blog post: ทริคการบำรุงรักษาท่อ PPR เพื่อยืดอายุการใช้งาน"
"/free-shipping-promotion/","/blog/delivery-promotion",301,"blog post: โปรโมชั่นการจัดส่ง"
"/home-tools-center-บริการจัดส่ง/","/blog/delivery-service",301,"blog post: Home Tools Center บริการจัดส่ง"
"/น้ำประปามาจากไหน/","/blog/where-tap-water-comes-from",301,"blog post: น้ำประปามาจากไหน"
"/โปรโมชนสำหรบลกคาทตองกา/","/blog/new-shop-opening-promotion",301,"blog post: โปรโมชั่นสำหรับลูกค้าที่ต้องการเปิดร้านใหม่"
"/หาซื้อท่อพีวีซีกันอยู่/","/blog/how-to-choose-drinking-water-pipe",301,"blog post: เลือกท่อน้ำดื่มอย่างไร ให้อุ่นใจ ไร้กังวล"
"/เลือกท่อน้ำดื่มอย่างไร/","/blog/scg-green-premium-pvc-pipe",301,"blog post: ท่อพีวีซี เอสซีจี รุ่น Green Premium มีดีอย่างไร ท"
"/ระบบประปา-น้ำอุ่น-น้ำร้อ/","/blog/best-pipe-for-hot-water-system",301,"blog post: ระบบประปา น้ำอุ่น น้ำร้อน ใช้ท่ออะไรดีนะ ?"
"/article-title-1/","/blog/4-reasons-choose-scg-pipe",301,"blog post: 4 เหตุผลที่ต้องเลือกท่อเอสซีจี"
"/ระบบสุขาภิบาล-sanitary-system/","/blog/types-of-sanitary-system",301,"blog post: ระบบสุขาภิบาลมีกี่ประเภท ?"
"/ระบบน้ำประปาภายในบ้าน/","/blog/home-water-supply-system",301,"blog post: ระบบน้ำประปาภายในบ้าน"
"/โปรโมชั่น-toa-megapaint/","/blog/toa-paint-promotion",301,"blog post: โปรโมชั่น ซื้อสี TOA"
"/ประเภทท่อในระบบสุขาภิบ/","/blog/sanitary-pipe-types",301,"blog post: ประเภทท่อในระบบสุขาภิบาล"
"/ท่อประปารั่วใต้พื้นบ้า/","/blog/underground-water-pipe-leak",301,"blog post: ท่อประปารั่วใต้พื้นบ้าน"
"/สาเหตุของเสียงรบกวนจาก/","/blog/drain-pipe-noise-causes",301,"blog post: สาเหตุของเสียงรบกวนจากระบบท่อน้ำทิ้ง เกิดจากอะไร"
"/รูปแบบการเดินท่อประปาภ/","/blog/home-plumbing-layout-guide",301,"blog post: รูปแบบการเดินท่อประปาภายในบ้าน"
"/ระบบน้ำที่เหมาะกับการใ/","/blog/ppr-pipe-applications",301,"blog post: ระบบน้ำที่เหมาะกับการใช้ท่อ PPR"
"/ก๊อกน้ำรั่ว-น้ำหยด-เกิดจ/","/blog/leaky-faucet-causes",301,"blog post: ก๊อกน้ำรั่ว น้ำหยด เกิดจากอะไร"
"/ปัญหาของระบบประปาที่ทำ/","/blog/tap-water-sediment-problems",301,"blog post: ปัญหาของระบบประปาที่ทำให้มีตะกอนและมีสิ่งเจือปน"
"/3-สาเหตุหลักส่งผลให้-น้ำ/","/blog/3-causes-bad-smell-tap-water",301,"blog post: 3 สาเหตุหลักส่งผลให้ น้ำประปา มีกลิ่นไม่พึง"
"/3-วิธีกำจัดกลิ่นคลอรีนใน/","/blog/3-ways-remove-chlorine-smell",301,"blog post: 3 วิธีกำจัดกลิ่นคลอรีนในน้ำประปา"
"/การตรวจสอบมิเตอร์น้ำ/","/blog/how-to-check-water-meter",301,"blog post: การตรวจสอบมิเตอร์น้ำ"
"/เทคนิคแก้ปัญหาท่อน้ำตั/","/blog/unclog-water-pipe-diy",301,"blog post: เทคนิคแก้ปัญหาท่อน้ำตันได้เองโดยไม่ต้องโทรเรียกช่า"
"/ความแตกต่างระหว่างท่อร/","/blog/yellow-vs-white-conduit-pipe",301,"blog post: ความแตกต่างระหว่างท่อร้อยสายไฟ สีเหลือง VS สีขาว"
"/สวิงเช็ควาล์ว-สปริงเช็/","/blog/swing-vs-spring-check-valve",301,"blog post: สวิงเช็ควาล์ว & สปริงเช็ควาล์ว คืออะไร"
"/ผลิตภัณฑ์ท่อ-pvc-ตราช้าง-scg/","/blog/scg-elephant-pvc-pipe",301,"blog post: ผลิตภัณฑ์ท่อ PVC ตราช้าง SCG"
"/article-water-pipe/","/blog/home-pipe-leak-fix-guide",301,"blog post: ทำอย่างไรเมื่อท่อน้ำรั่วในบ้าน บ้านนะไม่ใช่สวนน้ำ "
